n_tasks,n_samples,x_dim,in_Flat,in_Concat,in_FiLM,in_Hypernetwork,in_Structured,ood_Flat,ood_Concat,ood_FiLM,ood_Hypernetwork,ood_Structured
10,2000,20,1.1378495693206787,1.1439247131347656,1.144816517829895,1.1491544246673584,0.8745115995407104,1.5682047605514526,1.5745474100112915,1.5976817607879639,1.5906729698181152,1.1884527206420898
10,2000,50,2.2671704292297363,2.3110527992248535,2.264805793762207,2.2858786582946777,4.580817222595215,2.35882830619812,2.4140279293060303,2.359482526779175,2.383788585662842,4.7933125495910645
10,2000,100,3.655850648880005,3.718876361846924,3.608086347579956,3.609482526779175,78.0958480834961,3.3291759490966797,3.3925530910491943,3.2529194355010986,3.2616782188415527,69.48737335205078
100,100,5,1.0725505352020264,1.103662133216858,1.1575721502304077,1.1657620668411255,0.8203200697898865,1.1313700675964355,1.1647684574127197,1.2306472063064575,1.2511606216430664,0.8483887910842896
100,100,20,2.252929210662842,2.7529497146606445,2.057417392730713,2.6018881797790527,1.4890094995498657,2.333042860031128,2.846756935119629,2.167386293411255,2.6809041500091553,1.585715651512146
100,100,50,3.510632038116455,5.487709999084473,3.392029047012329,6.871198654174805,3.97015380859375,3.5229716300964355,5.561520576477051,3.432158946990967,6.952683448791504,4.058290004730225
100,100,100,7.6906914710998535,9.92573070526123,5.733669281005859,10.472896575927734,7.7748613357543945,7.692288875579834,9.910605430603027,5.8536834716796875,10.543593406677246,7.8978729248046875
100,200,5,1.1608675718307495,1.0725936889648438,1.060132622718811,1.261561632156372,0.7869811058044434,1.2005021572113037,1.1076632738113403,1.1022781133651733,1.2861425876617432,0.810199499130249
100,200,20,1.9369221925735474,2.1183600425720215,1.9293774366378784,1.9456123113632202,1.2372177839279175,2.0027546882629395,2.189072370529175,2.0140633583068848,1.995057463645935,1.2902666330337524
100,200,50,3.0701003074645996,3.326258659362793,3.1287641525268555,3.546466588973999,7.236186981201172,3.0506651401519775,3.2237493991851807,3.1510074138641357,3.467407703399658,7.136438369750977
100,200,100,5.3846893310546875,6.015269756317139,5.2521562576293945,7.547002792358398,18.719566345214844,5.398787021636963,6.056987762451172,5.230727672576904,7.643278121948242,18.591262817382812
100,500,5,1.0165133476257324,1.0238968133926392,0.9976547956466675,0.9976052641868591,0.7411360740661621,1.0613744258880615,1.0690903663635254,1.0468939542770386,1.0474432706832886,0.7660836577415466
100,500,20,1.6261239051818848,1.6440494060516357,1.5778427124023438,1.5797210931777954,1.2073017358779907,1.654788613319397,1.671396017074585,1.6124458312988281,1.6140594482421875,1.2654370069503784
100,500,50,2.8660242557525635,2.7473578453063965,2.653549909591675,2.8411781787872314,4.24677038192749,2.8754990100860596,2.7971644401550293,2.7077105045318604,2.858949661254883,4.358575820922852
100,500,100,3.88899564743042,3.9869632720947266,3.9745125770568848,4.180593967437744,200.5441436767578,3.9184463024139404,3.9667422771453857,3.984799861907959,4.203767776489258,203.62088012695312
100,750,5,0.9640430212020874,0.9670131802558899,0.9760680198669434,0.9783101081848145,0.7013798356056213,1.0407317876815796,1.042688250541687,1.0549696683883667,1.0533334016799927,0.7665294408798218
100,750,20,1.5758137702941895,1.5812557935714722,1.5441163778305054,1.5535876750946045,1.1548062562942505,1.6424753665924072,1.6407883167266846,1.612067699432373,1.6210882663726807,1.1905344724655151
100,750,50,2.6759352684020996,2.6706953048706055,2.520171642303467,2.5545122623443604,5.459160327911377,2.6030640602111816,2.602932929992676,2.440746545791626,2.47575044631958,5.247397422790527
100,750,100,3.5876400470733643,3.916522264480591,3.7026805877685547,3.787149429321289,211.0339813232422,3.664712905883789,4.035827159881592,3.813913583755493,3.8947408199310303,217.9470672607422
100,1000,5,1.0174387693405151,1.0327184200286865,1.0201131105422974,1.0110312700271606,0.7239644527435303,1.0545929670333862,1.0743893384933472,1.0562744140625,1.0468523502349854,0.7656887173652649
100,1000,20,1.566075086593628,1.5572590827941895,1.560634732246399,1.5653349161148071,1.1732761859893799,1.595878005027771,1.5884431600570679,1.59208345413208,1.598522663116455,1.2159976959228516
100,1000,50,2.3872225284576416,2.4010140895843506,2.377650260925293,2.420050621032715,6.71981954574585,2.4288723468780518,2.4445767402648926,2.427438259124756,2.473672389984131,6.922957420349121
100,1000,100,3.2831060886383057,3.3807549476623535,3.2561111450195312,3.346112012863159,227.7286376953125,3.4177448749542236,3.5493550300598145,3.4300196170806885,3.5038344860076904,241.81983947753906
